Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,+2,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-01-18,Declared
2,-1,Joe Burrow,LSU,QB,"6'4""",216,SR,2020-01-18,Eligible
3,-1,Derrick Brown,Auburn,DL3T,"6'5""",318,SR,2020-01-18,Eligible
4,+1,Justin Herbert,Oregon,QB,"6'6""",225,SR,2020-01-18,Eligible
5,-1,Jerry Jeudy,Alabama,WRF,"6'1""",192,JR,2020-01-18,Declared
6,+1,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2020-01-18,Declared
7,-2,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2020-01-18,Declared
8,+4,Isaiah Simmons,Clemson,OLB,"6'4""",225,RJR,2020-01-18,Declared
9,+1,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2020-01-18,Declared
10,+1,Austin Jackson,USC,OT,"6'6""",310,JR,2020-01-18,Declared
11,+1,Kristian Fulton,LSU,CB,"6'0""",192,SR,2020-01-18,Eligible
12,+1,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,JR,2020-01-18,Declared
13,+1,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-01-18,Declared
14,-6,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2020-01-18,Declared
15,--,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2020-01-18,Eligible
16,+6,Grant Delpit,LSU,S,"6'3""",203,JR,2020-01-18,Declared
17,+5,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2020-01-18,Declared
18,+1,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,JR,2020-01-18,Declared
19,+1,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2020-01-18,Declared
20,-4,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2020-01-18,Declared
21,+9,D'Andre Swift,Georgia,RBF,"5'9""",215,JR,2020-01-18,Declared
22,-6,Tee Higgins,Clemson,WRF,"6'4""",200,JR,2020-01-18,Declared
23,-1,Laviska Shenault,Colorado,WRF,"6'2""",220,JR,2020-01-18,Declared
24,+2,Henry Ruggs III,Alabama,WRF,"6'0""",183,JR,2020-01-18,Declared
25,-8,Tyler Biadasz,Wisconsin,OC,"6'3""",315,RJR,2020-01-18,Declared
26,-1,C.J. Henderson,Florida,CB,"6'1""",186,JR,2020-01-18,Declared
27,+2,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2020-01-18,Declared
28,+16,J.K. Dobbins,Ohio State,RBF,"5'10""",214,JR,2020-01-18,Declared
29,+6,Cameron Dantzler,Mississippi State,CB,"6'2""",185,JR,2020-01-18,Declared
30,+3,Anfernee Jennings,Alabama,OLB,"6'3""",259,RSR,2020-01-18,Eligible
31,+6,Tyler Johnson,Minnesota,WRF,"6'2""",200,SR,2020-01-18,Eligible
32,-7,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2020-01-18,Declared
33,-2,Trey Adams,Washington,OT,"6'7""",315,SR,2020-01-18,Eligible
34,+4,Xavier McKinney,Alabama,S,"6'1""",196,JR,2020-01-18,Declared
35,-3,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2020-01-18,Eligible
36,+17,Jake Fromm,Georgia,QB,"6'2""",220,JR,2020-01-18,Declared
37,+4,Shane Lemieux,Oregon,OG,"6'4""",317,SR,2020-01-18,Eligible
38,+13,Jalen Reagor,TCU,WRS,"5'11""",195,JR,2020-01-18,Declared
39,+10,Albert Okwuegbunam,Missouri,TE,"6'5""",255,RJR,2020-01-18,Declared
40,--,Bryce Hall,Virginia,CB,"6'1""",200,SR,2020-01-18,Eligible
41,+10,Jake Hanson,Oregon,OC,"6'5""",297,SR,2020-01-18,Eligible
42,-1,Troy Dye,Oregon,ILB,"6'4""",224,SR,2020-01-18,Eligible
43,+27,Justin Madubuike,Texas A&M,DL3T,"6'3""",304,RJR,2020-01-18,Declared
44,-4,Jalen Hurts,Oklahoma,QB,"6'2""",210,SR,2020-01-18,Eligible
46,+22,Josh Jones,Houston,OT,"6'7""",310,SR,2020-01-18,Eligible
47,+36,James Lynch,Baylor,DL5T,"6'4""",295,JR,2020-01-18,Declared
48,+17,Mekhi Becton,Louisville,OT,"6'7""",355,JR,2020-01-18,Declared
49,+33,K'Lavon Chaisson,LSU,OLB,"6'4""",238,RSO,2020-01-18,Declared
50,+81,Brycen Hopkins,Purdue,TE,"6'5""",245,RSR,2020-01-18,Eligible
51,+60,Justin Jefferson,LSU,WRF,"6'2""",185,JR,2020-01-18,Declared
52,+35,Nick Harris,Washington,OC,"6'1""",302,SR,2020-01-18,Eligible
53,-17,Terrell Lewis,Alabama,EDGE,"6'5""",255,RJR,2020-01-18,Declared
54,+4,Rashard Lawrence,LSU,DL1T,"6'3""",317,SR,2020-01-18,Eligible
55,+9,Michael Pittman Jr.,USC,WRF,"6'4""",223,SR,2020-01-18,Eligible
56,-2,Ben Bredeson,Michigan,OG,"6'5""",320,SR,2020-01-18,Eligible
57,+4,A.J. Terrell,Clemson,CB,"6'2""",190,JR,2020-01-18,Declared
58,-37,Raekwon Davis,Alabama,DL3T,"6'7""",306,SR,2020-01-18,Eligible
